Main Port Name,state,Latitude,Longitude
CHICAGO,Illinois,41.883333,-87.6
WILMETTE,Illinois,42.083333,-87.683333
GREAT LAKES,Illinois,42.3,-87.833333
WAUKEGAN,Illinois,42.366667,-87.816667
KENOSHA,Wisconsin,42.583333,-87.816667
RACINE,Wisconsin,42.733333,-87.783333
MILWAUKEE,Wisconsin,43.033333,-87.883333
PORT WASHINGTON,Wisconsin,43.383333,-87.866667
SHEBOYGAN,Wisconsin,43.75,-87.7
MANITOWOC,Wisconsin,44.1,-87.65
PORT HOPE,Michigan,43.95,-82.7
BAY CITY,Michigan,43.6,-83.866667
POINT SAN PABLO,California,37.966667,-122.433333
SAUSALITO,California,37.85,-122.483333
PINOLE POINT,California,38.016667,-122.366667
OLEUM,California,38.05,-122.266667
MARE ISLAND,California,38.1,-122.266667
SOUTH VALLEJO,California,38.083333,-122.25
CROCKETT,California,38.05,-122.216667
PORT COSTA,California,38.05,-122.183333
BENICIA,California,38.05,-122.15
MARTINEZ,California,38.033333,-122.133333
PITTSBURG,California,38.033333,-121.883333
ANTIOCH,California,38.016667,-121.8
STOCKTON,California,37.95,-121.3
RIO VISTA,California,38.15,-121.7
ISLETON,California,38.166667,-121.6
WALNUT GROVE,California,38.233333,-121.516667
COURTLAND,California,38.333333,-121.566667
SACRAMENTO,California,38.583333,-121.5
BODEGA BAY,California,38.333333,-123.05
FIELDS LANDING,California,40.716667,-124.216667
EUREKA,California,40.8,-124.183333
SAMOA,California,40.816667,-124.183333
CRESCENT CITY,California,41.75,-124.2
PORT ORFORD,Oregon,42.733333,-124.5
PROSPER,Oregon,43.15,-124.366667
NORTH BEND,Oregon,43.4,-124.216667
COOS BAY,Oregon,43.366667,-124.216667
GARDINER,Oregon,43.716667,-124.1
REEDSPORT,Oregon,43.7,-124.1
CUSHMAN,Oregon,43.983333,-124.066667
TOLEDO,Oregon,44.616667,-123.933333
PRINCETOWN,California,37.5,-122.483333
THOMASTON,Maine,44.066667,-69.183333
FRIENDSHIP,Maine,43.966667,-69.333333
NEW HARBOR,Maine,43.866667,-69.483333
PEMAQUID BEACH,Maine,43.866667,-69.533333
SOUTH BRISTOL,Maine,43.866667,-69.55
BOOTHBAY HARBOR,Maine,43.866667,-69.583333
ROBINHOOD,Maine,43.85,-69.733333
BATH,Maine,43.916667,-69.816667
GARDINER,Maine,44.233333,-69.766667
AUGUSTA,Maine,44.316667,-69.766667
CUNDY HARBOR,Maine,43.783333,-69.9
SOUTH HARPSWELL,Maine,43.733333,-70.016667
PORTLAND,Maine,43.666667,-70.25
SACO,Maine,43.5,-70.45
KENNEBUNKPORT,Maine,43.366667,-70.466667
PORTSMOUTH,Maine,43.083333,-70.75
COREA,Maine,44.4,-67.966667
MACHIASPORT,Maine,44.7,-67.4
MACHIAS,Maine,44.716667,-67.466667
JONESPORT,Maine,44.533333,-67.616667
WYMAN,Maine,44.516667,-67.866667
MILBRIDGE,Maine,44.533333,-67.883333
PORT WING,Wisconsin,46.783333,-91.383333
PORT HURON,Michigan,43.0,-82.433333
HARBOR BEACH,Michigan,43.85,-82.65
SODUS BAY,New York,43.266667,-76.983333
